"job_location","no_of_jobs"
"Berlin, Germany","909"
"Munich, Germany","618"
"Germany","614"
"Hamburg, Germany","435"
"Anywhere","348"
"Frankfurt, Germany","319"
"Cologne, Germany","246"
"Stuttgart, Germany","216"
"Düsseldorf, Germany","178"
"Essen, Germany","144"
"Karlsruhe, Germany","89"
"Nuremberg, Germany","84"
"Dresden, Germany","80"
"Hanover, Germany","73"
"Bavaria, Germany","52"
"Heidelberg, Germany","46"
"Leipzig, Germany","46"
"Dortmund, Germany","44"
"Bonn, Germany","40"
"Oberkochen, Germany","39"
